"","alue","tunnus","väestö","tulot","suomenkieliset","ruotsinkieliset","vieraskieliset","ylempi_kork","perusaste","työttömyys","työvoima","työvoiman_ulkop","alle_15","opiskelijat","eläkeläiset"
"18","Herttoniemenranta","434",9235,33939,74.7,3.6,21.6,20.6,24,11.1,55.8,44.2,15.4,7,21.7
"19","Hevossalmi","495",1637,42699,81.1,6.7,12.2,26.7,22.1,7.6,52.2,47.8,20,8.7,19.1
"20","Honkasuo","336",744,36483,81.3,5,13.7,29.2,11.7,6.2,63.2,36.8,24.5,5.2,7.1
"21","Itä-Pakila","342",3392,45095,90.3,3.7,6,27.9,18.3,5.3,50.8,49.2,19.8,7.5,21.9
"22","Itä-Pasila","173",3656,29866,66.5,2.8,30.7,18.9,30.3,11.4,54,46,10.7,8.2,27.1
"23","Itäkeskus","457",4509,26824,53.1,2.5,44.4,9.8,43.1,20.6,45.7,54.3,16.2,8.7,29.5
"24","Itäsaaret","532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Jakomäki","414",5281,24255,58.2,1.2,40.6,5.5,42.7,18.8,48.9,51.1,15.8,8.5,26.7
"26","Jollas","492",3066,54656,81.5,6.6,11.9,32.1,20.9,7.2,50.1,49.9,21.3,7.9,20.6
"27","Jätkäsaari","203",14718,37674,71.8,6.9,21.3,25.9,20.1,7.4,59.3,40.7,16.8,9.1,14.9
"28","Kaartinkaupunki","030",1039,93847,73.2,16.1,10.7,37.7,13.9,4.7,55.3,44.7,11.1,7.9,25.7
"29","Kaivopuisto","090",437,185854,60.4,31.6,8,38.3,14,6.1,41.4,58.6,9.8,6.4,42.3
"30","Kalasatama","102",6949,45577,82,3.6,14.3,28.1,15.4,5.2,66.3,33.7,12.3,7.6,13.7
"31","Kallahti","545",6511,26357,55.3,2.8,41.9,10.1,38.9,21.2,45.7,54.3,19.3,8.5,26.5
